Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Gap_Days,Gap_Flag,Return,SMA_20,SMA_50,SMA_200,RSI,Bollinger_Bands_Upper,Bollinger_Bands_Lower
RELIANCE.NS,2025-07-02,1528.4,1530.0,1508.7,1518.8,1512.76,6361002,1.0,False,-0.63,1461.18,1428.61,,67.28,1525.82,1396.54
RELIANCE.NS,2025-07-03,1520.8,1531.9,1513.0,1517.8,1511.76,11283291,1.0,False,-0.07,1464.95,1432.97,,66.91,1533.65,1396.25
RELIANCE.NS,2025-07-04,1524.0,1530.0,1517.2,1527.3,1521.22,6603501,1.0,False,0.63,1469.14,1437.48,,68.67,1542.4,1395.88
RELIANCE.NS,2025-07-07,1526.6,1544.8,1525.0,1541.5,1535.37,7251074,3.0,False,0.93,1473.78,1442.3,,71.13,1553.1,1394.45
RELIANCE.NS,2025-07-08,1536.0,1544.9,1530.2,1537.6,1531.48,7171261,1.0,False,-0.25,1478.73,1445.68,,69.52,1561.1,1396.36
RELIANCE.NS,2025-07-09,1536.7,1551.0,1510.1,1519.0,1512.96,8870660,1.0,False,-1.21,1482.24,1448.06,,62.25,1565.22,1399.25
RELIANCE.NS,2025-07-10,1519.7,1524.7,1507.5,1517.2,1511.16,10047129,1.0,False,-0.12,1486.02,1450.31,,61.58,1568.09,1403.94
RELIANCE.NS,2025-07-11,1512.0,1515.0,1490.3,1495.2,1489.25,7234991,1.0,False,-1.45,1489.38,1451.82,,53.93,1566.81,1411.95
RELIANCE.NS,2025-07-14,1492.2,1500.0,1479.1,1483.7,1477.8,10311846,3.0,False,-0.77,1491.68,1452.86,,50.4,1565.29,1418.06
RELIANCE.NS,2025-07-15,1486.2,1496.5,1482.4,1485.4,1479.49,8132454,1.0,False,0.11,1494.38,1454.15,,50.91,1562.41,1426.36
RELIANCE.NS,2025-07-16,1473.0,1491.0,1471.5,1485.6,1479.69,10409983,1.0,False,0.01,1497.16,1455.75,,50.98,1558.32,1436.0
RELIANCE.NS,2025-07-17,1487.4,1489.6,1473.9,1476.4,1470.53,11854613,1.0,False,-0.62,1499.32,1457.13,,47.88,1553.66,1444.97
RELIANCE.NS,2025-07-18,1484.8,1484.8,1469.1,1476.0,1470.13,10296318,1.0,False,-0.03,1499.8,1459.11,,47.75,1553.06,1446.55
RELIANCE.NS,2025-07-21,1465.0,1476.0,1423.1,1428.6,1422.92,22442744,3.0,False,-3.21,1498.4,1458.95,,35.07,1557.61,1439.18
RELIANCE.NS,2025-07-22,1427.4,1431.9,1410.7,1412.8,1407.18,20396320,1.0,False,-1.11,1496.5,1458.89,,32.02,1564.0,1428.99
RELIANCE.NS,2025-07-23,1426.0,1426.0,1414.4,1424.6,1418.93,8354596,1.0,False,0.84,1494.36,1458.9,,36.47,1568.16,1420.56
RELIANCE.NS,2025-07-24,1419.2,1423.0,1396.0,1402.9,1397.32,14740507,1.0,False,-1.52,1489.74,1457.87,,32.29,1574.1,1405.38
RELIANCE.NS,2025-07-25,1398.9,1401.0,1384.1,1391.7,1386.16,11854722,1.0,False,-0.8,1483.55,1456.58,,30.35,1577.58,1389.53
RELIANCE.NS,2025-07-28,1392.3,1407.8,1385.0,1387.6,1382.08,7748361,3.0,False,-0.29,1477.9,1455.51,,29.65,1580.78,1375.03
RELIANCE.NS,2025-07-29,1383.0,1420.2,1383.0,1417.1,1411.46,10750072,1.0,False,2.13,1472.34,1455.36,,40.32,1575.75,1368.93
RELIANCE.NS,2025-07-30,1418.1,1423.3,1401.3,1410.1,1404.49,7209849,1.0,False,-0.49,1466.9,1454.98,,38.82,1571.46,1362.35
RELIANCE.NS,2025-07-31,1388.1,1402.6,1382.2,1390.2,1384.67,17065827,1.0,False,-1.41,1460.52,1454.6,,34.84,1567.55,1353.5
RELIANCE.NS,2025-08-01,1386.9,1405.9,1384.3,1393.7,1388.16,10321171,1.0,False,0.25,1453.84,1453.94,,36.08,1559.99,1347.7
RELIANCE.NS,2025-08-04,1395.1,1416.1,1391.7,1411.5,1405.89,6312820,3.0,False,1.28,1447.34,1453.47,,42.12,1546.59,1348.1
RELIANCE.NS,2025-08-05,1411.0,1411.0,1388.1,1391.7,1386.16,9315972,1.0,False,-1.4,1440.05,1452.86,,37.84,1532.58,1347.52
RELIANCE.NS,2025-08-06,1391.9,1395.9,1383.3,1392.8,1387.26,5834312,1.0,False,0.08,1433.74,1452.46,,38.21,1520.64,1346.84
RELIANCE.NS,2025-08-07,1387.7,1393.7,1366.0,1389.4,1383.87,9976705,1.0,False,-0.24,1427.35,1451.89,,37.46,1506.9,1347.8
RELIANCE.NS,2025-08-08,1385.0,1397.2,1365.0,1367.8,1362.36,8793606,1.0,False,-1.55,1420.98,1450.83,,33.0,1498.01,1343.95
RELIANCE.NS,2025-08-11,1370.0,1388.0,1361.2,1386.2,1380.69,9997486,3.0,False,1.35,1416.1,1450.28,,39.59,1488.63,1343.58
RELIANCE.NS,2025-08-12,1381.9,1401.9,1375.2,1380.4,1374.91,12244664,1.0,False,-0.42,1410.86,1449.78,,38.31,1477.2,1344.51
RELIANCE.NS,2025-08-13,1388.0,1391.8,1377.5,1382.6,1377.1,7457021,1.0,False,0.16,1405.7,1448.96,,39.12,1462.99,1348.42
RELIANCE.NS,2025-08-14,1377.3,1380.7,1370.1,1373.8,1373.8,7126128,1.0,False,-0.64,1400.58,1447.59,,37.04,1448.88,1352.27
RELIANCE.NS,2025-08-18,1390.0,1394.9,1377.0,1381.7,1381.7,11785109,4.0,True,0.58,1395.86,1446.35,,40.12,1429.28,1362.44
RELIANCE.NS,2025-08-19,1390.0,1421.0,1389.1,1420.1,1420.1,14384719,1.0,False,2.78,1395.44,1445.78,,52.31,1427.28,1363.59
RELIANCE.NS,2025-08-20,1413.0,1424.9,1410.0,1413.0,1413.0,8725641,1.0,False,-0.5,1395.45,1445.27,,50.27,1427.32,1363.57
RELIANCE.NS,2025-08-21,1425.0,1431.9,1420.3,1424.8,1424.8,11021323,1.0,False,0.84,1395.46,1444.79,,53.52,1427.37,1363.54
RELIANCE.NS,2025-08-22,1420.0,1423.4,1407.9,1409.2,1409.2,5818868,1.0,False,-1.09,1395.77,1444.14,,48.97,1428.11,1363.43
RELIANCE.NS,2025-08-25,1414.7,1419.5,1405.7,1412.6,1412.6,5979407,3.0,False,0.24,1396.82,1443.83,,49.97,1429.94,1363.69
RELIANCE.NS,2025-08-26,1408.0,1410.0,1381.6,1384.9,1384.9,12145259,1.0,False,-1.96,1396.68,1442.77,,42.65,1429.99,1363.37
RELIANCE.NS,2025-08-28,1389.9,1392.2,1366.5,1385.9,1385.9,13161813,2.0,False,0.07,1395.12,1441.87,,42.98,1427.31,1362.93
RELIANCE.NS,2025-08-29,1381.1,1403.5,1350.0,1357.2,1357.2,18758842,1.0,False,-2.07,1392.48,1440.41,,36.58,1428.0,1356.95
RELIANCE.NS,2025-09-01,1356.0,1363.2,1340.6,1353.9,1353.9,11232238,3.0,False,-0.24,1390.66,1438.82,,35.92,1430.16,1351.16
RELIANCE.NS,2025-09-02,1354.8,1384.5,1354.5,1366.5,1366.5,11517006,1.0,False,0.93,1389.3,1436.83,,40.36,1430.21,1348.39
RELIANCE.NS,2025-09-03,1369.7,1376.5,1360.5,1372.6,1372.6,7847563,1.0,False,0.45,1387.36,1435.14,,42.43,1427.51,1347.2
RELIANCE.NS,2025-09-04,1371.8,1374.0,1357.1,1359.3,1359.3,13223177,1.0,False,-0.97,1385.74,1433.31,,39.22,1427.72,1343.75
RELIANCE.NS,2025-09-05,1363.0,1381.0,1359.3,1375.0,1375.0,5777575,1.0,False,1.16,1384.84,1431.47,,44.56,1426.96,1342.73
RELIANCE.NS,2025-09-08,1380.0,1386.0,1372.4,1378.5,1378.5,6986720,3.0,False,0.25,1384.3,1429.13,,45.7,1426.45,1342.15
RELIANCE.NS,2025-09-09,1376.6,1381.2,1368.7,1376.2,1376.2,9754452,1.0,False,-0.17,1384.72,1426.35,,45.04,1426.34,1343.1
RELIANCE.NS,2025-09-10,1383.9,1388.5,1374.1,1377.0,1377.0,7790815,1.0,False,0.06,1384.26,1423.88,,45.34,1426.01,1342.51
RELIANCE.NS,2025-09-11,1376.0,1385.5,1375.0,1383.3,1383.3,9766072,1.0,False,0.46,1384.4,1420.97,,47.71,1426.12,1342.69
RELIANCE.NS,2025-09-12,1383.3,1396.3,1380.5,1395.0,1395.0,7403368,1.0,False,0.85,1385.02,1418.5,,51.9,1427.0,1343.05
RELIANCE.NS,2025-09-15,1393.0,1400.8,1388.6,1399.3,1399.3,5396697,3.0,False,0.31,1386.3,1416.13,,53.38,1428.39,1344.21
RELIANCE.NS,2025-09-16,1404.7,1408.0,1398.2,1405.3,1405.3,8686961,1.0,False,0.43,1387.48,1413.69,,55.43,1430.34,1344.62
RELIANCE.NS,2025-09-17,1407.0,1416.2,1406.9,1413.8,1413.8,7519417,1.0,False,0.6,1387.16,1411.13,,58.24,1429.1,1345.23
RELIANCE.NS,2025-09-18,1420.4,1422.0,1410.7,1415.0,1415.0,9332642,1.0,False,0.08,1387.26,1408.68,,58.64,1429.46,1345.07
